"section","n","tau","kappa","estimator","replications","coverage","rejection_count","rejection_rate","MCSE","Wilson_lower","Wilson_upper","mean_W_true","median_W_true","q90_W_true","q95_W_true","max_W_true","coverage_rank","q50","q90","q95","q99","mean","maximum","q90_chisq2","q95_chisq2","q99_chisq2","aggregation","pilot_RMSE","authors_RMSE","RMSE_difference","RMSE_ratio","pilot_MAE","authors_MAE","MAE_difference","MAE_ratio","pilot_bias_estimate_minus_truth","pilot_bias_truth_minus_estimate","authors_bias_truth_minus_estimate","harmonized_bias_difference","all_grid_accepted_but_not_covered","no_grid_point_accepted_but_covered","grid_measure_four_but_not_covered","delta","power","null_rejection_rate","power_below_size","metric","value"
"coverage_matrix",500,0.5,1,"Oracle-GMM",50,0.88,6,0.12,0.0459565011723042,0.76195182616797,0.943823998490677,2.83313854438493,2.37494376045033,6.16194240240497,7.9065366366625,13.080543986974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.5,1,"Full-GMM",50,0.94,3,0.06,0.0335857112474933,0.837829083111618,0.979385029651026,2.09139226214415,0.958278130061869,4.23103979235863,5.92494764900566,12.7326399318843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.5,1,"DML-IVQR",50,0.94,3,0.06,0.0335857112474933,0.837829083111618,0.979385029651026,2.54250225890496,1.60471669407201,4.87005173821667,6.49384731187726,16.6994023521728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.5,0.5,"Oracle-GMM",50,0.9,5,0.1,0.0424264068711928,0.786397685625204,0.95652423506811,2.58645088129509,1.71229078275877,5.6105018421573,8.7683659035404,11.0392014476917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.5,0.5,"Full-GMM",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.50019980952191,1.97997238997698,5.74785454949042,6.93183476795698,7.7949925824844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.5,0.5,"DML-IVQR",50,0.9,5,0.1,0.0424264068711928,0.786397685625204,0.95652423506811,2.25371941175054,1.35383490702994,5.10080355881422,6.26786875459067,9.95069590427748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.5,0.25,"Oracle-GMM",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.46943464752418,1.41663481839955,5.30191275196378,8.70613199249683,11.0073252092537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.5,0.25,"Full-GMM",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.10178923001666,1.48779611521788,5.76475631361387,6.33500658080105,8.5194996226454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.5,0.25,"DML-IVQR",50,0.94,3,0.06,0.0335857112474933,0.837829083111618,0.979385029651026,2.24058609795596,1.76179775743518,4.44779408563554,6.26525437474023,10.4056498151138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.5,0.1,"Oracle-GMM",50,0.9,5,0.1,0.0424264068711928,0.786397685625204,0.95652423506811,2.48124547229872,1.7137669188782,5.8212759391737,7.67849074798745,11.6256956678611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.5,0.1,"Full-GMM",50,0.96,2,0.04,0.027712812921102,0.86539909312493,0.98896111567238,2.07714912085779,1.32853950119389,5.31953669016192,5.66771316006353,7.48334949264514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.5,0.1,"DML-IVQR",50,0.94,3,0.06,0.0335857112474933,0.837829083111618,0.979385029651026,2.40755522588439,1.95834885648631,5.32092132135234,5.8548737685072,8.30827251173482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.75,1,"Oracle-GMM",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.39523113751024,1.68231785879652,5.71170777940063,6.31500029937021,9.19378381918158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.75,1,"Full-GMM",50,0.84,8,0.16,0.0518459255872629,0.71485783936965,0.916625793219666,3.19352750712613,2.34471512462387,7.52884574564591,8.99504523202605,10.3390281208711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.75,1,"DML-IVQR",50,0.74,13,0.26,0.0620322496770833,0.604468427351512,0.841284725064476,4.11877063805546,3.05255741263151,8.58930573207662,9.51187687333193,12.5652586704655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.75,0.5,"Oracle-GMM",50,0.98,1,0.02,0.0197989898732233,0.895045564103622,0.996460740728354,1.6451310427815,1.13147973268253,3.72135888117009,4.2780085782567,7.05540700099716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.75,0.5,"Full-GMM",50,0.9,5,0.1,0.0424264068711928,0.786397685625204,0.95652423506811,2.76848551994599,1.80869727793359,5.60016401779417,8.62653973737015,12.7721954209299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.75,0.5,"DML-IVQR",50,1,0,0,0,0.928652400866641,1,1.8931010500433,1.40147640555939,4.33748242671349,4.50484994289902,5.76955814771603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.75,0.25,"Oracle-GMM",50,0.98,1,0.02,0.0197989898732233,0.895045564103622,0.996460740728354,1.50507197948023,0.923897956376444,2.90498115429184,3.79233201372268,6.33818842077948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.75,0.25,"Full-GMM",50,0.92,4,0.08,0.0383666521865017,0.811617530816572,0.968450485911407,2.36236766135661,1.7844475307271,5.35955460947739,7.58704675993525,10.1611301666473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coverage_matrix",500,0.75,0.25,"DML-IVQR",50,1,0,0,0,0.928652400866641,1,1.69906152018403,1.06748679928068,4.13641231133663,4.22448039979464,5.3050781498183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
