"row_type","dataset_id","estimator","comparison","alpha","max_abs_latent_d_difference","max_abs_D_difference","exact_latent_d_identity","exact_D_identity","max_abs_W_difference","W_reference","W_thesis","difference","alpha_hat_reference","alpha_hat_thesis","min_W_reference","min_W_thesis","alpha_hat_exact_match","W_tolerance_match","selected_lambda_reference","lambda_vector_exact_match","status"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",1,NA,NA,NA,NA,NA,2.65806383269352,2.65806383269352,0,NA,NA,NA,NA,NA,NA,0.0301336942988764,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",1.1,NA,NA,NA,NA,NA,5.72228675387571,5.72228675387571,0,NA,NA,NA,NA,NA,NA,0.0275611953863184,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",1.2,NA,NA,NA,NA,NA,5.70734754786639,5.70734754786639,0,NA,NA,NA,NA,NA,NA,0.0295055862688688,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",1.3,NA,NA,NA,NA,NA,13.363635366436,13.363635366436,0,NA,NA,NA,NA,NA,NA,0.0295055862688688,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",1.4,NA,NA,NA,NA,NA,14.2622361381447,14.2622361381447,0,NA,NA,NA,NA,NA,NA,0.0343267604757325,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",1.5,NA,NA,NA,NA,NA,22.6723180059098,22.6723180059098,0,NA,NA,NA,NA,NA,NA,0.0171460467291221,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",1.6,NA,NA,NA,NA,NA,27.7747432030809,27.7747432030809,0,NA,NA,NA,NA,NA,NA,0.0283832874151562,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",1.7,NA,NA,NA,NA,NA,33.6357225162187,33.6357225162187,0,NA,NA,NA,NA,NA,NA,0.0330918106157251,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",1.8,NA,NA,NA,NA,NA,39.5283427100389,39.5283427100389,0,NA,NA,NA,NA,NA,NA,0.0272272148077136,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",1.9,NA,NA,NA,NA,NA,43.7673577453131,43.7673577453131,0,NA,NA,NA,NA,NA,NA,0.034417050763691,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",2,NA,NA,NA,NA,NA,52.3727186342768,52.3727186342768,0,NA,NA,NA,NA,NA,NA,0.0303291476262838,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",2.1,NA,NA,NA,NA,NA,54.2968684101632,54.2968684101632,0,NA,NA,NA,NA,NA,NA,0.0324883532474829,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",2.2,NA,NA,NA,NA,NA,56.9957873183115,56.9957873183115,0,NA,NA,NA,NA,NA,NA,0.0345903839517397,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",2.3,NA,NA,NA,NA,NA,58.5439896876503,58.5439896876503,0,NA,NA,NA,NA,NA,NA,0.0374952930972896,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",2.4,NA,NA,NA,NA,NA,56.1479637999982,56.1479637999982,0,NA,NA,NA,NA,NA,NA,0.0283689790087384,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",2.5,NA,NA,NA,NA,NA,59.5834674209758,59.5834674209758,0,NA,NA,NA,NA,NA,NA,0.0312951083833797,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",2.6,NA,NA,NA,NA,NA,61.7989608099756,61.7989608099756,0,NA,NA,NA,NA,NA,NA,0.0342690141906946,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",2.7,NA,NA,NA,NA,NA,66.0135490031784,66.0135490031784,0,NA,NA,NA,NA,NA,NA,0.0318192787121061,NA,"PASS"
"alpha_detail",1,"DML-CV","DML_TABLE2_CV",2.8,NA,NA,NA,NA,NA,74.7120110033219,74.7120110033219,0,NA,NA,NA,NA,NA,NA,0.0170339724008688,NA,"PASS"
