"n","tau","kappa","estimator","delta","rejection_probability","MCSE","successful_replications","failed_replications"
1000,0.75,0.1,"Oracle-GMM",-0.5,0.066,0.0111035129576184,500,0
1000,0.75,0.1,"Oracle-GMM",-0.25,0.074,0.0117067501895274,500,0
1000,0.75,0.1,"Oracle-GMM",0.25,0.068,0.0112584190719657,500,0
1000,0.75,0.1,"Oracle-GMM",0.5,0.096,0.0131745208641529,500,0
1000,0.9,1,"DML-IVQR",-0.5,0.692,0.0206463556106156,500,0
1000,0.9,1,"DML-IVQR",-0.25,0.096,0.0131745208641529,500,0
1000,0.9,1,"DML-IVQR",0.25,0.984,0.00561141693336006,500,0
1000,0.9,1,"DML-IVQR",0.5,1,0,500,0
1000,0.9,1,"Full-GMM",-0.5,0.08,0.0121326007104825,500,0
1000,0.9,1,"Full-GMM",-0.25,0.092,0.01292563344676,500,0
1000,0.9,1,"Full-GMM",0.25,0.832,0.0167198086113448,500,0
1000,0.9,1,"Full-GMM",0.5,0.982,0.005945754788082,500,0
1000,0.9,1,"Oracle-GMM",-0.5,0.738,0.0196649942791754,500,0
1000,0.9,1,"Oracle-GMM",-0.25,0.276,0.0199911980631477,500,0
1000,0.9,1,"Oracle-GMM",0.25,0.898,0.0135348439222623,500,0
1000,0.9,1,"Oracle-GMM",0.5,1,0,500,0
1000,0.9,0.5,"DML-IVQR",-0.5,0.21,0.018215378118502,500,0
1000,0.9,0.5,"DML-IVQR",-0.25,0.066,0.0111035129576184,500,0
1000,0.9,0.5,"DML-IVQR",0.25,0.656,0.0212444816364156,500,0
1000,0.9,0.5,"DML-IVQR",0.5,0.898,0.0135348439222623,500,0
1000,0.9,0.5,"Full-GMM",-0.5,0.05,0.00974679434480896,500,0
1000,0.9,0.5,"Full-GMM",-0.25,0.05,0.00974679434480896,500,0
1000,0.9,0.5,"Full-GMM",0.25,0.45,0.022248595461287,500,0
1000,0.9,0.5,"Full-GMM",0.5,0.664,0.0211236360506424,500,0
1000,0.9,0.5,"Oracle-GMM",-0.5,0.184,0.0173288199251998,500,0
1000,0.9,0.5,"Oracle-GMM",-0.25,0.094,0.0130509769749241,500,0
1000,0.9,0.5,"Oracle-GMM",0.25,0.454,0.0222658482883541,500,0
1000,0.9,0.5,"Oracle-GMM",0.5,0.84,0.0163951212255354,500,0
1000,0.9,0.25,"DML-IVQR",-0.5,0.096,0.0131745208641529,500,0
1000,0.9,0.25,"DML-IVQR",-0.25,0.062,0.0107848041243223,500,0
1000,0.9,0.25,"DML-IVQR",0.25,0.186,0.0174013792556797,500,0
1000,0.9,0.25,"DML-IVQR",0.5,0.324,0.020929596269398,500,0
1000,0.9,0.25,"Full-GMM",-0.5,0.044,0.00917213170424411,500,0
1000,0.9,0.25,"Full-GMM",-0.25,0.06,0.0106207344378814,500,0
1000,0.9,0.25,"Full-GMM",0.25,0.134,0.0152344346793703,500,0
1000,0.9,0.25,"Full-GMM",0.5,0.262,0.0196649942791754,500,0
1000,0.9,0.25,"Oracle-GMM",-0.5,0.072,0.0115599307956406,500,0
1000,0.9,0.25,"Oracle-GMM",-0.25,0.06,0.0106207344378814,500,0
1000,0.9,0.25,"Oracle-GMM",0.25,0.138,0.01542439626047,500,0
1000,0.9,0.25,"Oracle-GMM",0.5,0.316,0.020791536739741,500,0
1000,0.9,0.1,"DML-IVQR",-0.5,0.056,0.0102824121683582,500,0
1000,0.9,0.1,"DML-IVQR",-0.25,0.048,0.00955991631762538,500,0
1000,0.9,0.1,"DML-IVQR",0.25,0.076,0.0118510759005248,500,0
1000,0.9,0.1,"DML-IVQR",0.5,0.08,0.0121326007104825,500,0
1000,0.9,0.1,"Full-GMM",-0.5,0.046,0.00936845771725528,500,0
1000,0.9,0.1,"Full-GMM",-0.25,0.036,0.0083311463797007,500,0
1000,0.9,0.1,"Full-GMM",0.25,0.058,0.0104533248299285,500,0
1000,0.9,0.1,"Full-GMM",0.5,0.094,0.0130509769749241,500,0
1000,0.9,0.1,"Oracle-GMM",-0.5,0.042,0.00897061870775924,500,0
1000,0.9,0.1,"Oracle-GMM",-0.25,0.044,0.00917213170424411,500,0
1000,0.9,0.1,"Oracle-GMM",0.25,0.052,0.00992935043192655,500,0
1000,0.9,0.1,"Oracle-GMM",0.5,0.112,0.014103616557465,500,0
