"n","tau","kappa","estimator","delta","rejection_probability","MCSE","successful_replications","failed_replications"
1000,0.25,0.1,"DML-IVQR",0.25,0.05,0.00974679434480896,500,0
1000,0.25,0.1,"DML-IVQR",0.5,0.052,0.00992935043192655,500,0
1000,0.25,0.1,"Full-GMM",-0.5,0.1,0.0134164078649987,500,0
1000,0.25,0.1,"Full-GMM",-0.25,0.07,0.0114105214604767,500,0
1000,0.25,0.1,"Full-GMM",0.25,0.044,0.00917213170424411,500,0
1000,0.25,0.1,"Full-GMM",0.5,0.056,0.0102824121683582,500,0
1000,0.25,0.1,"Oracle-GMM",-0.5,0.112,0.014103616557465,500,0
1000,0.25,0.1,"Oracle-GMM",-0.25,0.052,0.00992935043192655,500,0
1000,0.25,0.1,"Oracle-GMM",0.25,0.054,0.0101078187557949,500,0
1000,0.25,0.1,"Oracle-GMM",0.5,0.088,0.0126693330526907,500,0
1000,0.5,1,"DML-IVQR",-0.5,1,0,500,0
1000,0.5,1,"DML-IVQR",-0.25,0.818,0.0172554918793989,500,0
1000,0.5,1,"DML-IVQR",0.25,0.976,0.00684455988358638,500,0
1000,0.5,1,"DML-IVQR",0.5,1,0,500,0
1000,0.5,1,"Full-GMM",-0.5,1,0,500,0
1000,0.5,1,"Full-GMM",-0.25,0.732,0.0198078772209442,500,0
1000,0.5,1,"Full-GMM",0.25,0.746,0.0194671004517879,500,0
