"n","replication","tau","kappa","estimator","Delta","a_false","W_false","rejected_false","rejection","false_acceptance","power_evaluation_failed"
1000,1,0.1,0.25,"DML-IVQR-BC",-1,-1.2815515655446,2.07297494374137,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"DML-IVQR-BC",-0.5,-0.781551565544601,4.47973441652555,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"DML-IVQR-BC",-0.25,-0.531551565544601,1.7408631605244,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"DML-IVQR-BC",0.25,-0.0315515655446008,0.908765610081693,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"DML-IVQR-BC",0.5,0.218448434455399,2.65257601009086,FALSE,FALSE,1,FALSE
1000,1,0.1,0.25,"DML-IVQR-BC",1,0.718448434455399,0.315429590713322,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"Oracle-GMM",-1,-0.674489750196082,10.5475391578668,TRUE,TRUE,0,FALSE
1000,1,0.25,0.25,"Oracle-GMM",-0.5,-0.174489750196082,5.77406197217009,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"Oracle-GMM",-0.25,0.0755102498039183,3.37368741749581,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"Oracle-GMM",0.25,0.575510249803918,0.765349841611825,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"Oracle-GMM",0.5,0.825510249803918,3.11969708735057,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"Oracle-GMM",1,1.32551024980392,5.7765343853566,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"Full-GMM",-1,-0.674489750196082,3.6744001034081,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"Full-GMM",-0.5,-0.174489750196082,4.0150429472015,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"Full-GMM",-0.25,0.0755102498039183,0.702039480651767,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"Full-GMM",0.25,0.575510249803918,0.312354357247281,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"Full-GMM",0.5,0.825510249803918,0.783486143638368,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"Full-GMM",1,1.32551024980392,4.31119365334998,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"DML-IVQR-BC",-1,-0.674489750196082,8.99308066642603,TRUE,TRUE,0,FALSE
1000,1,0.25,0.25,"DML-IVQR-BC",-0.5,-0.174489750196082,7.99170446206198,TRUE,TRUE,0,FALSE
1000,1,0.25,0.25,"DML-IVQR-BC",-0.25,0.0755102498039183,1.41322478034597,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"DML-IVQR-BC",0.25,0.575510249803918,0.193966176137061,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"DML-IVQR-BC",0.5,0.825510249803918,1.8722367842521,FALSE,FALSE,1,FALSE
1000,1,0.25,0.25,"DML-IVQR-BC",1,1.32551024980392,3.9077320375897,FALSE,FALSE,1,FALSE
1000,1,0.5,0.25,"Oracle-GMM",-1,0,4.67693579333226,FALSE,FALSE,1,FALSE
1000,1,0.5,0.25,"Oracle-GMM",-0.5,0.5,1.44870535564497,FALSE,FALSE,1,FALSE
1000,1,0.5,0.25,"Oracle-GMM",-0.25,0.75,0.148754184225819,FALSE,FALSE,1,FALSE
1000,1,0.5,0.25,"Oracle-GMM",0.25,1.25,3.28548180506226,FALSE,FALSE,1,FALSE
1000,1,0.5,0.25,"Oracle-GMM",0.5,1.5,5.2433825879339,FALSE,FALSE,1,FALSE
1000,1,0.5,0.25,"Oracle-GMM",1,2,7.11093318343374,TRUE,TRUE,0,FALSE
1000,1,0.5,0.25,"Full-GMM",-1,0,5.22991285072677,FALSE,FALSE,1,FALSE
1000,1,0.5,0.25,"Full-GMM",-0.5,0.5,3.59812269189488,FALSE,FALSE,1,FALSE
1000,1,0.5,0.25,"Full-GMM",-0.25,0.75,0.245684847550512,FALSE,FALSE,1,FALSE
1000,1,0.5,0.25,"Full-GMM",0.25,1.25,2.03204845159112,FALSE,FALSE,1,FALSE
1000,1,0.5,0.25,"Full-GMM",0.5,1.5,3.88508538535191,FALSE,FALSE,1,FALSE
1000,1,0.5,0.25,"Full-GMM",1,2,8.90952485767803,TRUE,TRUE,0,FALSE
1000,1,0.5,0.25,"DML-IVQR-BC",-1,0,7.98414452356381,TRUE,TRUE,0,FALSE
1000,1,0.5,0.25,"DML-IVQR-BC",-0.5,0.5,2.5112369722361,FALSE,FALSE,1,FALSE
1000,1,0.5,0.25,"DML-IVQR-BC",-0.25,0.75,0.281558089920841,FALSE,FALSE,1,FALSE
1000,1,0.5,0.25,"DML-IVQR-BC",0.25,1.25,6.16736838092622,TRUE,TRUE,0,FALSE
1000,1,0.5,0.25,"DML-IVQR-BC",0.5,1.5,5.741774881338,FALSE,FALSE,1,FALSE
1000,1,0.5,0.25,"DML-IVQR-BC",1,2,5.78845596181573,FALSE,FALSE,1,FALSE
1000,1,0.75,0.25,"Oracle-GMM",-1,0.674489750196082,1.06365992991206,FALSE,FALSE,1,FALSE
