"n","tau","kappa","estimator","median_grid_accepted_set_measure","mean_grid_accepted_set_measure","median_accepted_grid_share","mean_accepted_grid_share","mean_number_accepted_grid_points","left_boundary_acceptance_rate","right_boundary_acceptance_rate","either_boundary_acceptance_rate","both_boundaries_acceptance_rate","all_41_acceptance_rate","computational_domain","measure_definition"
1000,0.5,0.5,"DML-IVQR-BC",0.6,0.6414,0.146341463414634,0.156439024390244,6.414,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.25,"Oracle-GMM",1.9,1.946,0.463414634146341,0.479756097560976,19.67,0.238,0.182,0.342,0.078,0.036,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.25,"Full-GMM",2.2,2.2766,0.536585365853659,0.561609756097561,23.026,0.286,0.234,0.42,0.1,0.03,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.25,"DML-IVQR-BC",2.025,2.0677,0.5,0.510390243902439,20.926,0.146,0.352,0.408,0.09,0.04,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.1,"Oracle-GMM",3.9,3.5008,0.975609756097561,0.873853658536585,35.828,0.828,0.812,0.916,0.724,0.418,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.1,"Full-GMM",3.8,3.5196,0.951219512195122,0.878634146341463,36.024,0.824,0.832,0.934,0.722,0.366,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.5,0.1,"DML-IVQR-BC",3.9,3.5145,0.975609756097561,0.876975609756098,35.956,0.74,0.882,0.926,0.696,0.428,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.75,1,"Oracle-GMM",0.3,0.2798,0.0731707317073171,0.0682439024390244,2.798,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.75,1,"Full-GMM",0.5,0.5182,0.121951219512195,0.126390243902439,5.182,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.75,1,"DML-IVQR-BC",0.3,0.2826,0.0731707317073171,0.0689268292682927,2.826,0,0,0,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.75,0.5,"Oracle-GMM",0.7,0.8304,0.170731707317073,0.202634146341463,8.308,0.008,0,0.008,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.75,0.5,"Full-GMM",1.1,1.2173,0.268292682926829,0.297024390243902,12.178,0.01,0,0.01,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.75,0.5,"DML-IVQR-BC",0.7,0.7372,0.170731707317073,0.179853658536585,7.374,0.004,0,0.004,0,0,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.75,0.25,"Oracle-GMM",2.65,2.4877,0.658536585365854,0.615219512195122,25.224,0.472,0.222,0.568,0.126,0.058,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.75,0.25,"Full-GMM",2.9,2.7908,0.707317073170732,0.690731707317073,28.32,0.516,0.308,0.628,0.196,0.046,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.75,0.25,"DML-IVQR-BC",2.25,2.2659,0.560975609756098,0.560390243902439,22.976,0.314,0.32,0.498,0.136,0.054,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
1000,0.75,0.1,"Oracle-GMM",3.9,3.6087,0.975609756097561,0.900585365853659,36.924,0.856,0.818,0.956,0.718,0.458,"A0=[-1,3]","grid-based accepted-set measure within the prespecified primary computational domain A0=[-1,3]"
