"n","tau","kappa","estimator","total_rows","R_available","number_missing","number_non_finite","empirical_coverage","empirical_size","coverage_mcse","coverage_mc95_lower","coverage_mc95_upper","nominal_0p95_inside_mc_interval","mean_W_true","sd_W_true","min_W_true","q10_W_true","q25_W_true","median_W_true","q75_W_true","q90_W_true","q95_W_true","q99_W_true","max_W_true","empirical_rejection_rate","q95_ratio_to_chisq2_q95","mean_minus_chisq2_mean","variance_minus_chisq2_variance","max_abs_ecdf_difference_chisq2","summary_reported_coverage","summary_reported_size","summary_coverage_abs_difference","summary_size_abs_difference"
500,0.1,0.1,"Full-GMM",500,500,0,0,0.934,0.0659999999999999,0.0111035129576184,0.908760598839147,0.952621473640226,TRUE,2.25777689215671,2.21507287697772,0.00615111284349786,0.185560975446085,0.621228799598491,1.61122642710544,3.10457943005546,5.28593133547973,6.38795519346399,10.2185713297,11.8077733595071,0.066,1.06617591462631,0.257776892156706,0.906547850322356,0.0657016093928706,0.934,0.066,0,5.55111512312578e-17
500,0.1,0.1,"DML-IVQR-BC",500,500,0,0,0.936,0.0639999999999999,0.0109456840809517,0.911047591162316,0.954303983955211,TRUE,2.30021291730549,2.32663918648965,0.00375964740722839,0.243743389456583,0.719375272767561,1.68206289598453,3.02314841295374,5.25943678121209,6.65075521656393,12.2952927189676,15.0690128383998,0.064,1.11003831605316,0.300212917305488,1.41324990410921,0.074607833980904,0.936,0.064,0,5.55111512312578e-17
500,0.25,1,"Oracle-GMM",500,500,0,0,0.886,0.114,0.0142129518397833,0.855150910157685,0.910963099005997,FALSE,2.67338964811366,2.59552956558987,0.0031954418862955,0.283591684393414,0.816060448954885,1.90858042807553,3.61085674780889,6.19147682126493,7.70381924084466,11.3475519873723,16.6743217979701,0.114,1.28579901963423,0.673389648113662,2.73677372585111,0.124017994973618,0.886,0.114,0,1.38777878078145e-17
500,0.25,1,"Full-GMM",500,500,0,0,0.788,0.212,0.0182787308093314,0.750047884182445,0.821560495711702,FALSE,3.83292045946932,3.46696100196735,0.00540783632317821,0.440019244392762,1.23328431014767,2.76274633251134,5.46260187674836,8.88476264381169,10.6497132110776,15.855514932352,19.0140837716902,0.212,1.77748080245556,1.83292045946932,8.01981858916245,0.271719183481936,0.788,0.212,0,2.77555756156289e-17
500,0.25,1,"DML-IVQR-BC",500,500,0,0,0.976,0.024,0.00684455988358638,0.958522942536099,0.986218685344503,FALSE,1.79449711162668,1.68392077972446,0.00466510711403143,0.189242250923457,0.57644511365869,1.28767174917609,2.62808516217001,3.89753121768759,5.02667370513077,8.1093208161101,10.766575858504,0.024,0.838972452496126,-0.205502888373323,-1.16441080761217,0.0462241893791417,0.976,0.024,0,2.08166817117217e-17
500,0.25,0.5,"Oracle-GMM",500,500,0,0,0.936,0.0639999999999999,0.0109456840809517,0.911047591162316,0.954303983955211,TRUE,2.26215720922396,2.24071781305524,0.0138794015941726,0.232267341343367,0.705790744714095,1.57730879009614,3.03369711127606,5.11662064471581,6.5170511601594,10.9984244277941,14.4677175735813,0.064,1.08772256080612,0.262157209223958,1.02081631774306,0.0687564462055376,0.936,0.064,0,5.55111512312578e-17
500,0.25,0.5,"Full-GMM",500,500,0,0,0.92,0.08,0.0121326007104825,0.892893683422149,0.940701870590148,FALSE,2.59021587790593,2.41707690535053,0.0179867989801248,0.361097219062545,0.827975478497174,1.86659171731491,3.66328202458939,5.49091361220582,7.40411172850865,11.9093167852342,16.1318281686154,0.08,1.23577660692035,0.59021587790593,1.84226076637888,0.125922132290374,0.92,0.08,0,4.16333634234434e-17
500,0.25,0.5,"DML-IVQR-BC",500,500,0,0,0.96,0.04,0.00876356092008266,0.939026404165149,0.973959202610223,TRUE,1.86310044298753,1.78887606625736,0.00387849709263799,0.234719130345283,0.603602080154891,1.29712864330518,2.57901063222068,4.19705106129089,5.53054435156756,8.50779313323152,10.4430365947788,0.04,0.923070529431256,-0.136899557012474,-0.799922419571608,0.0451243018921813,0.96,0.04,0,3.46944695195361e-17
500,0.25,0.25,"Oracle-GMM",500,500,0,0,0.938,0.0620000000000001,0.0107848041243223,0.913340286898362,0.955980790857318,TRUE,2.16545797443165,2.14776480304957,0.00749342377052371,0.289329393301601,0.71316514757217,1.53775673004615,2.94069587111987,4.69714987620903,6.73456087310143,10.2931453335422,14.0955318234274,0.062,1.12402582376159,0.165457974431645,0.612893649218573,0.0559176895372419,0.938,0.062,0,5.55111512312578e-17
500,0.25,0.25,"Full-GMM",500,500,0,0,0.938,0.0620000000000001,0.0107848041243223,0.913340286898362,0.955980790857318,TRUE,2.20386972949947,2.22383203836564,0.00407467253605232,0.267922225404673,0.685519686599124,1.53625620924895,2.88800063986533,4.91504380891223,6.6676236760829,10.5713865592701,16.0660754119267,0.062,1.11285373111342,0.20386972949947,0.945428934861471,0.0616301260854924,0.938,0.062,0,5.55111512312578e-17
